pressure in bar,inlet temperature in K,temperature in K,residence time in s,portion of product in feed,conversion CO2
1.94851,723.78,745.60013,0.19192,0.18747,0.69926
1.50877,556.292,582.29953,0.21614,0.12564,0.51772
2.23957,502.364,509.54993,0.39036,0.23658,0.17735
2.53999,479.676,482.22211,0.36697,0.38401,0.07055
2.99791,780.852,832.53517,0.0759,0.2328,0.52704
5.65615,720.66,728.2464,0.34353,0.44112,0.70362
9.51283,678.436,734.35454,0.0437,0.26655,0.73668
5.47291,784.964,809.27069,0.18403,0.11681,0.72603
5.14567,617.708,625.60164,0.26785,0.48222,0.74541
8.20117,403.7,403.74557,0.05938,0.43878,0.00028
5.81383,401.284,401.3381,0.29823,0.06294,0.00063
7.56847,470.348,472.43442,0.37105,0.4993,0.07678
9.52993,407.94,408.02837,0.32103,0.2414,0.00151
4.72501,456.228,457.23574,0.0648,0.20227,0.00409
2.06551,456.3,456.99328,0.12236,0.42752,0.00738
3.59857,649.444,666.48811,0.16925,0.26928,0.78051
7.80283,717.276,751.8053,0.09614,0.02588,0.83296
3.11581,626.468,653.23413,0.15167,0.07842,0.77767
9.94411,653.116,678.80088,0.10575,0.27269,0.77563
8.10487,795.02,805.63103,0.30627,0.40226,0.5996
8.40079,490.18,498.97032,0.31328,0.13374,0.13997
2.97883,592.188,619.18736,0.19528,0.00886,0.73724
7.42087,718.828,727.41573,0.28714,0.42494,0.73979
7.14907,410.156,410.24133,0.09955,0.19246,0.00047
6.73255,724.636,769.71584,0.0476,0.44167,0.60497
6.70843,564.38,643.98826,0.04512,0.18572,0.5871
6.82921,681.636,689.82893,0.32834,0.1056,0.87205
7.53373,481.452,487.0263,0.09511,0.04425,0.02352
7.56217,682.708,698.29695,0.16399,0.2634,0.81515
7.08913,680.172,693.48523,0.17103,0.38382,0.78192
9.85879,755.34,787.2112,0.09938,0.19964,0.76674
5.54761,497.02,508.26921,0.39928,0.0289,0.20249
9.12889,616.908,632.74006,0.23146,0.08036,0.81705
4.72285,719.684,806.08864,0.04167,0.04602,0.73341
4.31515,591.988,602.50972,0.27955,0.36804,0.71638
